"ID" "Sample.ID" "Pool" "Bacteria_._Acidobacteria" "Bacteria_._Actinobacteria" "Bacteria_._Bacteroidetes" "Bacteria_._Chloroflexi" "Bacteria_._Cyanobacteria.Chloroplast" "Bacteria_._Deinococcus.Thermus" "Bacteria_._Elusimicrobia" "Bacteria_._Firmicutes" "Bacteria_._Fusobacteria" "Bacteria_._Gemmatimonadetes" "Bacteria_._Lentisphaerae" "Bacteria_._Planctomycetes" "Bacteria_._Proteobacteria" "Bacteria_._Spirochaetes" "Bacteria_._Synergistetes" "Bacteria_._TM7" "Bacteria_._Tenericutes" "Bacteria_._Verrucomicrobia" "Unclassified_Bacteria" "Unclassified_root"
1 1 703 0 9 667 0 0 0 0 1303 0 0 0 0 17 0 0 0 0 0 4 0
22 4 704 0 35 743 0 0 1 0 1179 0 0 0 0 35 0 1 0 0 0 6 0
25 2 704 0 73 284 0 1 0 0 1560 0 1 0 0 79 0 0 0 0 0 2 0
31 5 704 0 9 597 0 0 0 0 1232 0 0 0 0 154 0 0 0 0 1 7 0
32 6 704 0 10 589 0 0 0 0 1333 0 0 0 0 47 0 0 0 0 0 21 0
33 7 704 0 51 695 0 0 0 0 1029 0 0 0 0 194 0 0 0 0 28 3 0
34 3 704 0 40 968 0 0 0 0 832 0 0 0 0 135 0 0 2 0 0 23 0
35 8 704 0 16 475 0 0 0 0 1469 0 0 0 0 37 0 0 1 0 0 2 0
39 9 704 0 11 725 0 0 0 0 1216 0 0 0 0 43 0 0 0 0 0 5 0
43 10 704 0 78 830 0 2 0 0 841 0 0 0 0 234 0 0 0 0 0 15 0
45 11 704 0 23 622 0 0 0 0 1288 0 0 0 0 58 0 0 0 0 0 9 0
46 12 704 0 14 634 0 0 0 0 1039 0 0 0 0 68 0 0 0 0 233 12 0
47 13 704 0 13 675 0 0 0 0 1166 0 0 0 0 136 0 0 1 0 1 8 0
49 14 704 0 11 635 0 0 0 0 1203 0 0 0 0 132 0 0 2 0 1 16 0
50 16 704 0 10 835 0 0 0 0 1028 0 0 0 0 82 0 7 0 0 32 6 0
51 15 704 0 5 376 0 0 0 0 1378 0 0 0 0 83 0 6 0 0 110 42 0
